session_id,user_mode,subject_or_project,duration_minutes,difficulty_rating,productivity_rating,days_since_last_study,habit_streak_days,next_review_days
sess_0001,STUDENT,Biyoloji,120,3,2,13,9,4
sess_0002,LIFELONG_LEARNER,React & TypeScript,60,4,3,24,33,6
sess_0003,LIFELONG_LEARNER,Finansal Okuryazarlık,45,2,5,9,35,9
sess_0004,STUDENT,Kimya (Organik),60,1,1,22,24,6
sess_0005,STUDENT,Türkçe,45,2,2,10,5,5
sess_0006,STUDENT,Matematik (Türev),60,3,5,15,23,7
sess_0007,STUDENT,Türkçe,45,5,5,5,17,4
sess_0008,LIFELONG_LEARNER,React & TypeScript,90,5,1,22,22,4
sess_0009,LIFELONG_LEARNER,Finansal Okuryazarlık,45,4,5,16,5,6
sess_0010,LIFELONG_LEARNER,React & TypeScript,45,5,5,13,28,5
sess_0011,STUDENT,Matematik (Türev),25,1,5,22,24,19
sess_0012,LIFELONG_LEARNER,React & TypeScript,45,5,2,25,16,5
sess_0013,LIFELONG_LEARNER,Python & FastAPI,25,4,1,20,23,4
sess_0014,STUDENT,Biyoloji,120,3,5,18,10,8
sess_0015,STUDENT,Kimya (Organik),25,3,5,11,25,7
sess_0016,STUDENT,Fizik (Mekanik),90,5,2,27,33,5
sess_0017,STUDENT,Matematik (Türev),25,2,1,9,27,3
sess_0018,STUDENT,Türkçe,120,3,3,16,2,6
sess_0019,STUDENT,Fizik (Mekanik),90,5,2,2,10,2
sess_0020,STUDENT,Fizik (Mekanik),60,4,1,26,37,5
sess_0021,LIFELONG_LEARNER,Finansal Okuryazarlık,60,5,5,25,13,7
sess_0022,STUDENT,Matematik (Türev),25,3,1,2,25,1
sess_0023,STUDENT,Fizik (Mekanik),25,4,1,12,20,3
sess_0024,STUDENT,Türkçe,120,5,1,8,38,2
sess_0025,STUDENT,Fizik (Mekanik),120,1,3,9,29,11
sess_0026,LIFELONG_LEARNER,İngilizce Pratik,45,4,1,12,7,3
sess_0027,STUDENT,Türkçe,120,1,3,26,19,13
sess_0028,STUDENT,Matematik (Türev),45,2,5,9,31,9
sess_0029,STUDENT,Kimya (Organik),90,4,3,10,21,4
sess_0030,STUDENT,Fizik (Mekanik),25,1,5,25,6,19
sess_0031,LIFELONG_LEARNER,İngilizce Pratik,90,3,5,2,8,6
sess_0032,STUDENT,Türkçe,120,3,3,16,44,6
sess_0033,STUDENT,Fizik (Mekanik),90,2,2,20,0,6
sess_0034,LIFELONG_LEARNER,İngilizce Pratik,90,4,4,7,28,4
sess_0035,LIFELONG_LEARNER,React & TypeScript,90,4,1,28,7,5
sess_0036,LIFELONG_LEARNER,Finansal Okuryazarlık,120,4,4,2,3,3
sess_0037,STUDENT,Kimya (Organik),90,2,1,1,34,2
sess_0038,STUDENT,Fizik (Mekanik),45,4,1,19,2,4
sess_0039,LIFELONG_LEARNER,İngilizce Pratik,120,3,5,28,44,9
sess_0040,STUDENT,Fizik (Mekanik),90,1,1,4,39,4
sess_0041,STUDENT,Matematik (Türev),120,3,1,24,6,5
sess_0042,STUDENT,Kimya (Organik),60,3,3,22,26,6
sess_0043,STUDENT,Biyoloji,45,1,4,27,0,17
sess_0044,LIFELONG_LEARNER,Finansal Okuryazarlık,90,3,3,2,26,3
sess_0045,STUDENT,Türkçe,60,2,1,25,15,5
sess_0046,LIFELONG_LEARNER,React & TypeScript,60,1,5,14,37,18
sess_0047,STUDENT,Kimya (Organik),120,3,3,2,6,3
sess_0048,STUDENT,Türkçe,60,5,3,29,43,6
sess_0049,STUDENT,Kimya (Organik),45,3,2,15,22,4
sess_0050,STUDENT,Fizik (Mekanik),45,2,1,12,40,3
sess_0051,LIFELONG_LEARNER,İngilizce Pratik,25,4,5,5,10,5
sess_0052,LIFELONG_LEARNER,İngilizce Pratik,45,3,3,28,41,7
sess_0053,LIFELONG_LEARNER,Finansal Okuryazarlık,60,4,3,20,32,5
sess_0054,LIFELONG_LEARNER,İngilizce Pratik,45,5,5,29,35,7
sess_0055,STUDENT,Matematik (Türev),120,3,1,7,36,2
sess_0056,LIFELONG_LEARNER,Finansal Okuryazarlık,25,1,2,24,40,10
sess_0057,STUDENT,Türkçe,60,4,3,21,16,5
sess_0058,STUDENT,Matematik (Türev),25,5,2,10,34,3
sess_0059,STUDENT,Türkçe,60,1,4,14,4,15
sess_0060,STUDENT,Fizik (Mekanik),120,1,1,14,31,5
sess_0061,STUDENT,Matematik (Türev),25,1,4,5,2,13
sess_0062,STUDENT,Türkçe,90,1,4,18,34,15
sess_0063,LIFELONG_LEARNER,React & TypeScript,60,3,4,24,13,8
sess_0064,STUDENT,Biyoloji,90,3,1,14,30,3
sess_0065,STUDENT,Fizik (Mekanik),25,3,1,2,30,1
sess_0066,STUDENT,Kimya (Organik),90,5,5,26,16,7
sess_0067,STUDENT,Fizik (Mekanik),90,5,2,12,23,3
sess_0068,LIFELONG_LEARNER,React & TypeScript,25,5,2,22,22,5
sess_0069,STUDENT,Kimya (Organik),120,2,5,24,17,11
sess_0070,LIFELONG_LEARNER,İngilizce Pratik,90,5,5,6,13,4
sess_0071,LIFELONG_LEARNER,Python & FastAPI,90,3,4,4,14,5
sess_0072,STUDENT,Türkçe,120,3,5,13,14,7
sess_0073,STUDENT,Fizik (Mekanik),90,2,3,4,5,5
sess_0074,LIFELONG_LEARNER,Finansal Okuryazarlık,90,2,2,22,26,6
sess_0075,LIFELONG_LEARNER,Finansal Okuryazarlık,90,5,5,14,14,5
sess_0076,LIFELONG_LEARNER,İngilizce Pratik,45,4,3,16,35,5
sess_0077,LIFELONG_LEARNER,İngilizce Pratik,120,2,3,29,7,9
sess_0078,STUDENT,Biyoloji,90,1,3,4,14,10
sess_0079,STUDENT,Türkçe,120,3,3,24,2,7
sess_0080,STUDENT,Matematik (Türev),60,1,4,25,12,16
sess_0081,LIFELONG_LEARNER,Python & FastAPI,60,3,3,1,40,3
sess_0082,LIFELONG_LEARNER,React & TypeScript,90,3,4,13,33,6
sess_0083,STUDENT,Türkçe,120,2,4,4,23,7
sess_0084,STUDENT,Biyoloji,120,2,3,20,39,8
sess_0085,STUDENT,Matematik (Türev),120,1,2,18,31,9
sess_0086,STUDENT,Biyoloji,45,3,3,6,31,4
sess_0087,LIFELONG_LEARNER,İngilizce Pratik,60,1,3,3,29,10
sess_0088,LIFELONG_LEARNER,Python & FastAPI,120,4,3,23,12,6
sess_0089,LIFELONG_LEARNER,React & TypeScript,120,1,2,13,0,8
sess_0090,STUDENT,Matematik (Türev),45,5,1,27,33,5
sess_0091,STUDENT,Biyoloji,45,1,1,16,14,6
